id,name,link
e92dfcc1-4ab6-4fe1-b5ca-77f01efed150,C Ventures,c-ventures
4ab1b039-d9ce-f96a-06e7-f737e37eee08,Norwest Venture Partners,norwest-venture-partners
e19db36a-b45e-83d5-92fe-4b15950475bd,Susquehanna Growth Equity,susquehanna-growth-equity
510f5959-f0b4-4f20-aa44-67775ee5dc34,Moore Strategic Ventures,moore-strategic-ventures
742de283-aebc-9611-7ed1-10deac141a0c,M12 - Microsoft's Venture Fund,microsoftventures
102f3a0d-abd2-551a-8724-8b502d32a0f9,Three Fish Capital,three-fish-capital
ac8370a7-34a6-4534-9c61-4a685a9fab39,D Squared Capital,d-squared-capital
3af5fa0d-8fac-4f00-be7e-bd1f525f3699,Full In,full-in-partners
07f4914d-2ea2-0da7-9408-41263b6267db,Owl Ventures,owl-ventures-lp
64661ef5-3607-43b8-8a48-df2a14f44fb6,Yanmar Marine International,yanmar-marine-international
79e301b1-678f-8f16-509b-eaa72d27edf8,NewSpring,newspring-capital
161a0793-8ae3-4174-bda2-e6562250f8ad,Benson Capital,benson-capital
bf4304ab-5df6-714c-3d76-aa64675faf88,Relevance Ventures (formerly Relevance Capital),relevance-capital
0f67ac47-122c-4778-b5d1-57c5fbcac800,Invictus Growth Partners,invictus-growth-partners
d87eb3fc-2c0f-a850-784b-777d83a98011,C5 Capital,c5-capital
c4bdc9f3-5a75-3393-8d54-fec662761ec8,JP Morgan,jp-morgan-chase
b94665b8-c155-20ea-9c59-7169ef6b6317,Kerogen Capital,kerogen-capital-2
6da91547-ea8c-20a8-dc40-398d9587065b,Bain Capital Life Sciences,bain-capital-life-sciences
e1a5f76b-b125-8ea5-61ec-64955bdbe6e8,Runa Capital,runa-capital
931f7202-91fd-ab26-c07d-06518289ef06,BlackRock,blackrock
a67fe1b3-f4e4-c5d3-a48b-903ca11e88f0,Commonwealth Capital Ventures,commonwealth-capital-ventures
5e73f414-096e-4b36-9dc7-83b3408a2437,GroundBreak Ventures,groundbreak-ventures
98cadc75-a828-44ad-8f42-987ea8c51d41,Jurassic Capital,jurassic-capital
f3716725-552d-b9b5-59ad-de4ec64b1751,Intel Capital,intel-capital
db9a455c-d51e-350a-d402-87bd0b1d46a5,Shasta Ventures,shasta-ventures
ae949e8e-0cbc-da49-afeb-0a386793ab54,Constellation Technology Ventures,constellation-technology-ventures
f31beda9-f83b-d0bb-1188-1a79d38a3352,Marker Hill Capital,marker-hill-capital
d0ddcd16-b676-4623-b1b8-5e84b7b37c1c,Brighton Park Capital,brighton-park-capital
19bb401e-963e-41e4-aadb-4ddcb2ee24c5,LAGO Innovation Fund,lago-innovation-fund
6efb9171-a87b-212d-f399-b0613da7b1c9,Insight Partners,insight-partners
c3524fc6-04ff-4212-a59a-d47b2ce36d7b,Meerkat Office,meerkat-office
3f5cfba7-4adc-4fb7-9a62-5e946b8f5943,Northwestern Mutual Black Founder Accelerator,northwestern-mutual-black-founder-accelerator
780f53aa-710a-ae0c-9c42-545a60fae891,Mercato Partners,mercato-partners
c08ba246-7156-4edb-8ead-566aadb5bfef,Fresenius Medical Care North America,fresenius-medical-care-north-america
60bf33fd-ab1a-19b8-4650-e29b77549e22,Serum Institute of India Pvt. Ltd.,serum-institute-of-india-pvt-ltd
826f9fb8-0968-fd1c-0420-677dd29ca993,B. Riley Financial,b-riley-financial
51f47ee3-159e-8ffd-a9e4-c4e9da462079,Second Century Ventures,second-century-ventures
e489ddae-e520-fd17-7f70-1a8298603865,Allos Ventures,allos-ventures
28a8baf0-2ffa-1592-4709-ca4fd4d0ae43,Technology Venture Partners,technology-venture-partners
c1716e0c-0245-43f6-8d19-e043424e0ba7,eBay Ventures,ebay-ventures
0fae2a15-d67c-43a0-9534-3dc8fd6f2371,DSG Ventures,dsg-ventures
70db5de1-7334-d744-5e6d-31c9e3b8d764,RA Capital Management,ra-capital-management
2cf31ec1-fbe9-480d-b994-ba5979859c0f,Atlas Innovate,atlas-innovate-9c0f
29aa12b4-13b1-4247-abd0-25478951fbdb,Rotor Capital,rotor-capital
57a7867b-ea57-d113-92bd-f78bdc78bf24,Active Capital,active-capital
d3bcd782-065d-5f6c-26c7-a99b4b8345d4,AXA Venture Partners,axa-strategic-ventures
aea9eb43-4856-038f-45f9-58cd3630bb5a,Eldridge,eldridge
6cb3e697-b5c5-2577-ccc0-325211ad816a,Las Olas Venture Capital,las-olas-vc-a-k-a-lovc
c5a9928e-44f5-4ab2-a840-c419c858d275,Inflection Point Ventures,inflection-point-ventures-d275
dcfb1ae3-35b1-0bf2-0b3d-595031ab4507,DCVC,data-collective
c40189cd-74f7-6f4a-884b-e8d2e2862d86,Lux Capital,lux-capital
a5d3767c-4925-4da6-94c8-377094bbb463,American Family Insurance Institute for Corporate and Social Impact,amfam-institute-impact-fund
91e4b32c-1d4f-49e2-a018-73bde9b0cd56,Y Combinator Continuity Fund,y-combinator-continuity-fund
eff3d988-a7b5-44cd-946e-1665a021d84e,Cohort Ventures,cohort-ventures
43ce1f76-d358-46fe-b731-27a9b71b5004,Blue Bear Capital,blue-bear-capital
461e9dfc-c0dd-b0d0-2dec-d9428ab9d52d,Missouri Technology Corporation,missouri-technology-corporation
a6eb7299-7271-441c-a119-fd86d5d4cd23,Valitas Ventures,valitas-ventures
ba454021-2f5b-4616-9c62-74f644891a98,CapStone Holdings,capstone-holdings
ffccd573-e981-9c05-f4e1-87b5b421e42c,Meitav Investment House,meitav-investment-house
